"imageID";"directoryName";"collectionDate";"acquisitionDate";"plotLocation";"variety";"symptom";"Chl";"Flav";"NBI"
"Nofe2";"2020-09-10_044";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"buffalo treehopper";27.22;3.609;7.54
"Nofe3";"2020-09-10_045";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"water stress";6.423;3.294;1.95
"Nofe4";"2020-09-10_046";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"buffalo treehopper";24.893;3.141;7.93
"Nofe5";"2020-09-10_047";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"buffalo treehopper";32.861;3.649;9
"Nofe6";"2020-09-10_048";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"water stress";24.552;3.003;8.17
"Nofe7";"2020-09-10_049";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"wood diseases";25.627;3.973;6.45
"Nofe8";"2020-09-10_050";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"water stress";8.902;3.789;2.35
"Nofe9";"2020-09-10_051";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"green leafhopper";29.03;3.781;7.68
"Nofe10";"2020-09-10_052";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"water stress";14.966;4.118;3.63
"Fddu1";"2020-09-10_053";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"flavescence doree";16.116;3.815;4.22
"Fddu2";"2020-09-10_054";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"flavescence doree";18.375;2.83;6.49
"Fddu3";"2020-09-10_055";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"flavescence doree";14.227;3.473;4.1
"Fddu4";"2020-09-10_056";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"flavescence doree";10.007;4.211;2.38
"Fddu5";"2020-09-10_057";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"flavescence doree";11.067;3.737;2.96
"Fddu6";"2020-09-10_058";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"flavescence doree";16.282;3.774;4.31
"Fddu7";"2020-09-10_059";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"flavescence doree";9.666;3.833;2.52
"Fddu8";"2020-09-10_060";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"flavescence doree";11.245;4.151;2.71
